,tagName,innerHtml,innerText,href,locationX,locationY,className,hasCurrencySIgn,hasPercantage,hasNumber,hasPriceInName,isLink,cssFontSize,cssFontStyle,cssFontWidth,cssFontColor,cssFontWeight,cssBgColor,cssHeight
340,span,50 Hz,50 hz,,863,3042,class attribute-value,False,False,True,False,,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
341,span,Funkcje&nbsp;,funkcje,,679,3062,class attribute-name,False,False,False,False,,12px,normal,auto,"rgb(28, 28, 27)",400,"rgba(0, 0, 0, 0)",auto
342,a,USB - multimedia,usb - multimedia,https://www.euro.com.pl/slownik.bhtml?definitionId=1943894252&productCode=1072735,726,3062,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
343,a,HDMI x2,hdmi x2,https://www.euro.com.pl/slownik.bhtml?definitionId=264465636&productCode=1072735,822,3062,class fancydict,False,False,True,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
344,a,USB x2,usb x2,https://www.euro.com.pl/slownik.bhtml?definitionId=320211948&productCode=1072735,875,3062,class fancydict,False,False,True,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
345,a,Obejrzyj w sklepie,obejrzyj w sklepie,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,627,3212,class depositories-button js-depositories,False,False,False,False,True,10px,normal,132px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",28px
346,a,Zadzwoń i zamów,zadzwoń i zamów,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,772,3211,class call-button js-call,False,False,False,False,True,10px,normal,129px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",28px
347,div,499&nbsp;zł,499 zł,,1033,2905,class price-normal selenium-price-normal,True,False,True,True,,39px,normal,215px,"rgb(227, 6, 19)",700,"rgba(0, 0, 0, 0)",40px
348,span,RATY:,raty:,,1080,2975,class price-instalments-label,False,False,False,True,,14px,normal,38px,"rgb(102, 102, 102)",700,"rgba(0, 0, 0, 0)",18px
349,a,"9,98 zł x 50 rat 0%","9,98 zł x 50 rat 0%",https://www.euro.com.pl/telewizory-led-lcd-plazmowe/lin-32lhd1510.bhtml#raty,1133,2975,class price-instalments selenium-price-instalments js-scroll-by-hash,True,True,True,True,True,14px,normal,115px,"rgb(227, 6, 19)",700,"rgba(0, 0, 0, 0)",17px
350,a,Darmowy transport,darmowy transport,https://www.euro.com.pl/cms/darmowy-transport.bhtml?link=wlepka,1033,3019,class ,False,False,False,False,True,12px,normal,215px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",15px
351,a,Do odbioru: już jutro!,do odbioru: już jutro!,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,1033,3044,class shop-delivery-action js-shop-delivery,False,False,False,False,True,12px,normal,137px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",19px
352,span,Do domu:,do domu:,,1055,3070,class ,False,False,False,False,,12px,normal,auto,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",auto
353,button,Do koszyka,do koszyka,,1033,3098,class add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button,False,False,False,False,,16px,normal,215px,"rgb(28, 28, 27)",700,"rgb(255, 232, 67)",57.2px
354,a,LG OLED77W9,lg oled77w9,https://www.euro.com.pl/telewizory-led-lcd-plazmowe/lg-oled77w9-tv-oled-uhd-4k.bhtml,409,3267,class js-save-keyword selenium-lp-product-link,False,False,True,False,True,20px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
355,a,telewizor OLED,telewizor oled,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml,510,3300,class ,False,False,False,False,True,12px,normal,auto,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",auto
356,a,LG,lg,https://www.euro.com.pl/search.bhtml?keyword=LG&searchType=tag,595,3300,class product-brand,False,False,False,False,True,12px,normal,15px,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",15px
357,a,Karta produktu,karta produktu,https://www.euro.com.pl/product-energy-cards/45071533969.pdf,786,3330,class energy-card js-energy-card,False,False,False,False,True,12px,normal,81px,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",30px
358,a,Ekran&nbsp;,ekran,https://www.euro.com.pl/slownik.bhtml?definitionId=14189958977,679,3433,class js-dictionary,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",400,"rgba(0, 0, 0, 0)",auto
359,span,"77 cali, 4K UHD, 3840 x 2160","77 cali, 4k uhd, 3840 x 2160",,715,3433,class attribute-value,False,False,True,False,,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
360,a,Smart TV&nbsp;,smart tv,https://www.euro.com.pl/slownik.bhtml?definitionId=2009113454,679,3453,class js-dictionary,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",400,"rgba(0, 0, 0, 0)",auto
361,span,tak,tak,,732,3453,class attribute-value,False,False,False,False,,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
362,a,Częstotliwość odświeżania ekranu&nbsp;,częstotliwość odświeżania ekranu,https://www.euro.com.pl/slownik.bhtml?definitionId=37082770321,679,3473,class js-dictionary,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",400,"rgba(0, 0, 0, 0)",auto
363,span,100 Hz,100 hz,,863,3473,class attribute-value,False,False,True,False,,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
364,span,Funkcje&nbsp;,funkcje,,679,3493,class attribute-name,False,False,False,False,,12px,normal,auto,"rgb(28, 28, 27)",400,"rgba(0, 0, 0, 0)",auto
365,a,HDR,hdr,https://www.euro.com.pl/slownik.bhtml?definitionId=12114736986&productCode=1188608,726,3493,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
366,a,Smart,smart,https://www.euro.com.pl/slownik.bhtml?definitionId=1991322992&productCode=1188608,757,3493,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
367,a,Wi-Fi,wi-fi,https://www.euro.com.pl/slownik.bhtml?definitionId=265996876&productCode=1188608,794,3493,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
368,a,USB - multimedia,usb - multimedia,https://www.euro.com.pl/slownik.bhtml?definitionId=1943894252&productCode=1188608,829,3493,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
369,a,USB - nagrywanie,usb - nagrywanie,https://www.euro.com.pl/slownik.bhtml?definitionId=1943788880&productCode=1188608,679,3493,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
370,a,TimeShift,timeshift,https://www.euro.com.pl/slownik.bhtml?definitionId=1943884002&productCode=1188608,745,3508,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
371,a,Bluetooth,bluetooth,https://www.euro.com.pl/slownik.bhtml?definitionId=357292056&productCode=1188608,801,3508,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
372,a,obsługa głosowa,obsługa głosowa,https://www.euro.com.pl/slownik.bhtml?definitionId=14128448483&productCode=1188608,861,3508,class fancydict,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
373,a,HDMI x4,hdmi x4,https://www.euro.com.pl/slownik.bhtml?definitionId=264465636&productCode=1188608,679,3508,class fancydict,False,False,True,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
374,a,USB x3,usb x3,https://www.euro.com.pl/slownik.bhtml?definitionId=320211948&productCode=1188608,697,3523,class fancydict,False,False,True,False,True,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
375,a,Obejrzyj w sklepie,obejrzyj w sklepie,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,627,3565,class depositories-button js-depositories,False,False,False,False,True,10px,normal,132px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",28px
376,a,Zadzwoń i zamów,zadzwoń i zamów,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,772,3564,class call-button js-call,False,False,False,False,True,10px,normal,129px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",28px
377,div,54&nbsp;999&nbsp;zł,54 999 zł,,1033,3258,class price-normal selenium-price-normal,True,False,True,True,,39px,normal,215px,"rgb(227, 6, 19)",700,"rgba(0, 0, 0, 0)",40px
378,a,Darmowy transport,darmowy transport,https://www.euro.com.pl/cms/darmowy-transport.bhtml?link=wlepka,1033,3334,class ,False,False,False,False,True,12px,normal,215px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",15px
379,a,Do odbioru: już jutro!,do odbioru: już jutro!,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,1033,3359,class shop-delivery-action js-shop-delivery,False,False,False,False,True,12px,normal,137px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",19px
380,span,Do domu:,do domu:,,1055,3385,class ,False,False,False,False,,12px,normal,auto,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",auto
381,button,Do koszyka,do koszyka,,1033,3412,class add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button,False,False,False,False,,16px,normal,215px,"rgb(28, 28, 27)",700,"rgb(255, 232, 67)",57.2px
382,a,Samsung UE50RU7472U,samsung ue50ru7472u,https://www.euro.com.pl/telewizory-led-lcd-plazmowe/samsung-ue50ru7472u.bhtml,409,3620,class js-save-keyword selenium-lp-product-link,False,False,True,False,True,20px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
383,em,(44 opinie),(44 opinie),,498,3651,class ,False,False,True,False,,12px,normal,auto,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",auto
384,a,telewizor LED,telewizor led,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml,567,3653,class ,False,False,False,False,True,12px,normal,auto,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",auto
385,a,Samsung,samsung,https://www.euro.com.pl/search.bhtml?keyword=Samsung&searchType=tag,642,3653,class product-brand,False,False,False,False,True,12px,normal,47px,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",15px
386,a,Karta produktu,karta produktu,https://www.euro.com.pl/product-energy-cards/42495252841.pdf,786,3683,class energy-card js-energy-card,False,False,False,False,True,12px,normal,81px,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",30px
