tagName;className;locationX;locationY;isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;fancydict;745;8680;True;False;False;False;False;timeshift
a;fancydict;801;8680;True;False;False;False;False;bluetooth
a;fancydict;861;8680;True;False;False;False;False;obsługa głosowa
a;fancydict;679;8680;True;False;False;True;False;hdmi x4
a;fancydict;697;8695;True;False;False;True;False;usb x3
div;name;695;8737;False;False;False;False;False;ekran:
div;value;740;8737;False;False;False;True;False;65 cali
a;variant-itemjs-variant-item variant-one;685;8771;True;False;False;False;False;
a;variant-itemjs-variant-item active-item variant-one;685;8808;True;False;False;False;False;
a;variant-itemjs-variant-item variant-unavailable variant-one;685;8845;True;False;False;False;False;
a;depositories-button js-depositories;627;8774;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;8773;True;False;False;False;False;zadzwoń i zamów
